Entity_Orth,Entity_Label,Parts_of_Speech
March ___________,DATE,NNP NN
September,DATE,NNP
October,DATE,NNP
November,DATE,NNP
December,DATE,NNP
Total for year,DATE,JJ IN NN
San Juan Agency,ORG,NNP NNP NNP
San Juan Boarding School,ORG,NNP NNP NNP NNP
the Academic Department,ORG,DT NNP NNP
Altho,PERSON,NNP
This year,DATE,DT NN
March,DATE,NNP
ten years,DATE,CD NNS
June,DATE,NNP
San Juan School,ORG,NNP NNP NNP
San Juan Agency,ORG,NNP NNP NNP
School,ORG,NNP
to—day,DATE,NN
a year ago,DATE,DT NN RB
San Juan School,ORG,NNP NNP NNP
the past two years,DATE,DT JJ CD NNS
This year,DATE,DT NN
the Mesa School,ORG,DT NNP NNP
Toadlena School,ORG,NNP NNP
Shiprock,GPE,NNP
Indians,NORP,NNPS
the current fiscal year,DATE,DT JJ JJ NN
Indians,NORP,NNPS
Indians,NORP,NNPS
Indian,NORP,NNP
Indians,NORP,NNPS
Juan Agency,PERSON,NNP NNP
Navajo,NORP,NNP
"three
years",DATE,CD SP NNS
Indians,NORP,NNPS
Sunday,DATE,NNP
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
Toadlena,GPE,NNP
Toadlena,GPE,NNP
year,DATE,NN
Frank I. Inloes,PERSON,NNP NNP NNP
"the San Juan Boarding
School",ORG,DT NNP NNP NNP SP NNP
follows:-,PERSON,JJ
a Public School,ORG,DT NNP NNP
past year,DATE,SP JJ NN
Indian,NORP,JJ
Indian,NORP,JJ
San Juan,GPE,NNP NNP
San Juan State,GPE,NNP NNP NNP
14-00,DATE,CD SYM CD
the current fiscal year,DATE,DT JJ JJ NN
Indian,NORP,JJ
under 8 years old,DATE,IN CD NNS JJ
San Juan Agency,ORG,NNP NNP NNP
Indians,NORP,NNPS
Havajos,PERSON,NNP
Indians,NORP,NNPS
"James
D. Kennedy",PERSON,NNP SP NNP NNP
Havajos,PERSON,NNP
Toadlena,GPE,NNP
the year,DATE,DT NN
the year 1924-25,DATE,DT NN CD SYM CD
Indian,NORP,JJ
year to year,DATE,NN IN NN
Indian,NORP,JJ
many years,DATE,JJ NNS
1925,DATE,CD
San Juan Agency,ORG,NNP NNP NNP
White Arsenic,ORG,NNP NNP
Lemons,PERSON,NNP
Indians,NORP,NNPS
Indians,NORP,NNPS
