Lewis,1
Albert Hoff,1
July 17, 1906,2
Jan. 12, 1906,1
N. M.
Madamz-,1
I912,1
Wag-m men,1
Joesting & Schilling,1
Alan llater,1
6400-1950-4650,1
Whiteriver,2
:1 school 5 The,1
A. Carroll,3
Chiloooe,1
W.W.Cu1ver,1
I'uba,1
Jun lie-n,1
Agency,2
11111-5,1
Chiloooo,3
W. U. Wheaten,1
Sacaton,5
Gran Tare m,1
the Favxgoer Juan Rifle,1
LL11,1
3mm wit,1
Eaaet,1
Board of Home Mission,1
Hu Wpurooyfintw1hflt,1
Santiago,3
I. e.,1
2 5',1
Wu ;mpt's,1
11111,1
U. S. Indian,1
Woolington,1
Iuan,1
Aeeneien Wm,1
Records,1
the Mohonk Conference,1
WM T?Mt"'e,1
Ion-bar,1
H. B. Cartwright,1
Allen:-,1
x. 11,2
Sahta Fe,1
McGowan,2
Louv,1
Pen 1,1
Jose Nickarson,1
Imolla s.,1
Anthony Fourchogu,1
C. ',1
U.S.Ind1on Industrial School,1
L. Pollard,1
Jose Maria,1
9.8.Inuian Industrial School,1
Chiloeoo,1
N. M.
Deer Sirz~,1
Washington,25
Agent,4
Hhcr,1
Peres,1
151391,1
the Dept,1
P. I.
sant' F0,1
Hardware & Supply Co.,1
Jaseph PIDunn,1
Superviaor,1
Jbesting & Schilling,1
150#/,1
District,1
Circular No,1
1nd the door»,1
Hospital,1
Indian Industrial Home,1
Pavwenger Agent S. P. R'y,1
S. F. Stacnmr,1
Indian haunt-1&1 School,1
another year,1
I.
Lime,1
Aug. 28, 1906,1
1th otnnr 9min,1
last year,3
John,4
sunr-
day,1
Sept. 21, 1908-Sept,1
Indien Induetriel School,1
Clinton J. Grandall,1
Los Angelos,1
Kniune 9,1
Ayeni Th3,1
Iatilde,1
Feb. 21,1
Feb. 23,1
Santa Fe Central Rv,1
some day,1
Foam 8d.—NAnonL,1
Domingo,3
R. Dare,1
NIBMIMMIII,1
Toxicana,1
July 22, 1906,1
Detmer Neglen Co.,1
IWI.Iterr Elyee,1
I. W. Mire,1
Goodmsn,1
April 19, 1906,1
Peterson,2
April 19, 1905,1
Iurnisycd,1
Alexander:-,1
15 11111121113 'ereé'ree,1
Vicente Galban,1
H. M.,,1
4 41',1
Mich.,1
Hana

Title,1
U. s. lax-mu,1
Dec. 15, 1904,1
U.S.Indian Industrill School,1
Santa l'e,2
Carlisle,2
Perry:~,1
Sofriana,1
June 9,1905,1
May 11, 1900-Hsr,1
Dom-r,1
Judze Pope,1
Indian Wet-emu,1
Jicarilla
Agency,1
June 30, 1905,1
011116,1
Men 1.0110,1
Stick om .tal,1
the Albuquerque Indian School,1
Santa GIaraS,1
Southern,2
Kean,1
Omlhn,1
Wall,1
William K.flahn,1
June 15th,1
Indy-tun,1
Grunt,1
Inspector's Certificate,1
I. G. Mitt,1
Nov. 25/1904,1
Pena Blanca,7
Albert R. Smiley,1
Cinarron,1
Mr.'M. Fay Pierce,1
Stella,1
Sept. 3d,1
U.8.Indien Industriel,1
Santa To,1
Mazda-ts-,1
Arisens,1
Edger L. Hewett,1
Plouo,1
Tenn.,1
Li lii'fi'l'lfll'y,1
Goodman,1
Hall 11933,1
Indian Industriul School,1
Varciel Quintene,1
N. u.,17
BAID,1
Kertln,1
Wingate,1
Tuoe,1
Ignacio,1
Don Sir:-,1
Wishinaton,1
Menu,1
Mary Sage,1
the Lend Office,1
Mary Saga,1
Arie,1
Ind.
Office,1
Bush,1
Jean 1:.,1
the 20th instant,1
N. Y.
Sire:—,1
Sallie Chienca,1
Shields,1
Cochiti Pueblo,1
Amuerquo,1
Pena Blence,1
Brown:-,1
five year,1
New Hence,1
Reyes A. Gurule,1
Ill.,14
Judse Abbott,1
Nuvujeee,1
